Question,Answer
what do cyberstalkers do?,"Cyberstalking is the use of the Internet or other electronic means to stalk or harass an individual, a group of individuals, or an organization."
what do jehovah witnesses believe?,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures."
what do mucous membranes secrete?,"The sticky, thick fluid secreted by the mucous membranes and glands is termed mucus."
what do pigs eat?,Pigs are omnivores and are highly social and intelligent animals.
what do porcupines eat?,"Porcupines eat leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark."
what do UA's detect?,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites."
what does (sic) mean?,"Sic is a Latin word that means ""thus"" or, in writing, ""it was thus in the source material""."
what does 1 year mean to the planet?,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year."
what does 3g network mean?,"3G, short for third Generation, is the third generation of mobile telecommunications technology."
what does a cutter do?,"In baseball , a cutter, or cut fastball, is a type of fastball which breaks slightly toward the pitcher 's glove side as it reaches home plate."
what does a groundhog look for on groundhog day?,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks."
what does a laboratory in a gynecologist office consist of?,"A medical laboratory or clinical laboratory is a laboratory where tests are done on clinical specimens in order to get information about the health of a patient as pertaining to the diagnosis, treatment, and prevention of disease."
what does a plus-minus sign mean?,a plus-minus sign indicates the precision of an approximation.
what does a timing belt do?,"Timing belt (camshaft) , a toothed belt used to drive the camshaft(s) within an internal combustion engine."
what does a vote to table a motion mean?,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion."
what does add my two cents mean?,"""My two cents"" and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth""."
what does alkali do to liquids?,Some authors also define an alkali as a base that dissolves in water.
what does am and pm stand for?,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"")."
what does an advocacy website promote?,"Advocacy is a political process by an individual or group which aims to influence public-policy and resource allocation decisions within political, economic, and social systems and institutions."
what does arraignment mean?,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.
what does auld lang syne mean?,"The song's Scots title of Auld lang syne may be translated into English literally as ""old long since"", or more idiomatically, ""long long ago"", ""days gone by"" or ""old times""."
what does automatic paper feeder on printers mean?,"In multifunction or all-in-one printers , fax machines , photocopiers and scanners , an automatic document feeder or ADF is a feature which takes several pages and feeds the paper one page at a time into a scanner or copier, allowing the user to scan , and thereby copy , print , or fax , multiple-page documents without having to manually replace each page."
what does barefoot and pregnant mean?,"""Barefoot and pregnant"" is a phrase most commonly associated with the controversial idea that women should not work outside the home and should have many children during their reproductive years."
what does base jumping stand for?,"BASE jumping, also sometimes written as B.A.S.E. jumping, is an activity where participants jump from fixed objects and use a parachute to break their fall."
what does bruce jenner do?,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman."
what does continuous improvement mean?,"A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes."
what does estee lauder do?,"Estee Lauder Companies, Inc. is a manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products."
what does fidelity do?,"Fidelity Investments manages a large family of mutual funds , provides fund distribution and investment advice services, as well as providing discount brokerage services , retirement services, wealth management , securities execution and clearance, life insurance and a number of other services."
what does freedom of speech cover?,Freedom of speech is the political right to communicate one's opinions and ideas using one's body and property to anyone who is willing to receive them.
what does gloria in excelsis deo mean?,"""Gloria in excelsis Deo"" ( Latin for ""Glory to God in the highest"") is a hymn known also as the Greater Doxology (as distinguished from the ""Minor Doxology"" or Gloria Patri ) and the Angelic Hymn."
what does Gringo mean?,"Gringo is a slang Spanish and Portuguese word used in Ibero-America , to denote foreigners, often from the United States."
what does hair testing show?,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites."
What does Human sperm consist of?,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim""."
what does informal logic mean?,"Informal logic, intuitively, refers to the principles of logic and logical thought outside of a formal setting."
what does it mean if i'm flat footed?,"Flat feet (also called pes planus or fallen arches) is a formal reference to a medical condition in which the arch of the foot collapses, with the entire sole of the foot coming into complete or near-complete contact with the ground."
what does it take to start a lodge in freemason?,"Every new Lodge must be warranted or chartered by a Grand Lodge, but is subject to its direction only in enforcing the published Constitution of the jurisdiction."
what does judgment as a matter of law mean?,"Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case."
what does leeroy jenkins mean?,"Leeroy Jenkins, sometimes misspelled Leroy Jenkins and often elongated with numerous additional letters, is an Internet meme named for a player character created by Ben Schulz in Blizzard Entertainment 's MMORPG , World of Warcraft."
what does life insurance cover?,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person."
what does Mazel tov! mean?,"""good luck"") is a phrase used to express congratulations for a happy and significant occasion or event."
what does nanotechnology do?,"Nanotechnology may be able to create many new materials and devices with a vast range of applications , such as in medicine , electronics , biomaterials and energy production."
what does oklahoma produce?,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology."
What does Rapture meaning in a theological sense?,"The Rapture is a term in Christian eschatology which refers to the ""being caught up"" discussed in 1 Thessalonians 4:17, when the ""dead in Christ"" and ""we who are alive and remain"" will be ""caught up in the clouds"" to meet ""the Lord in the air""."
what does righteousness mean?,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism."
what does s.h.i.e.l.d stand for?,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division."
what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions."
what does the family leave act?,The Family and Medical Leave Act of 1993 (FMLA) is a United States federal law requiring covered employers to provide employees job-protected and unpaid leave for qualified medical and family reasons.
what does the federal reserve do?,"Federal Reserve duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions."
what does the FOIA apply to?,The Freedom of Information Act (FOIA) is a federal freedom of information law that allows for the full or partial disclosure of previously unreleased information and documents controlled by the United States government.
what does the green mean on the mexican flag?,"Red, white, and green are the colors of the national liberation army in Mexico."
What does the idea of effective nuclear charge tell us?,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons."
"What does the name ""Meister"" mean in German?","Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart )."
what does the president of the usa do?,The President of the United States of America (POTUS) is the head of state and head of government of the United States.
what does the temporal lobe part of the brain do?,"The temporal lobes are involved in the retention of visual memories , processing sensory input, comprehending language , storing new memories, emotion, and deriving meaning."
"What does the term ""mens rea"" mean?","Mens rea is Latin for ""guilty mind""."
what does the universal law of gravitation state?,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.
what does tmz stand for?,"The name TMZ stands for the historic "" studio zone "" or 30-mile zone radius from the intersection of West Beverly Boulevard and North La Cienega Boulevard in Los Angeles."
what does uncle sam represent to the american people?,"Uncle Sam (initials U.S.) is a common national personification of the American government that, according to legend, came into use during the War of 1812 and was supposedly named for Samuel Wilson."
what does xylem transport?,"xylem transport's basic function is to transport water, but it also transports some nutrients through the plant."
what domain is eu?,.eu is the country code top-level domain (ccTLD) for the European Union (EU).
what fantasy american football means?,Fantasy football is an interactive competition in which users compete against each other as general managers of virtual teams.
what food is in afghan?,"Afghan cuisine is largely based upon the nation's chief crops; cereals like wheat , maize , barley and rice."
what forms seasons?,"A season is a subdivision of the year , marked by changes in weather , ecology , and hours of daylight."
what freezes faster hot or cold water?,"The Mpemba effect, named after Tanzanian student Erasto Mpemba , is the assertion that warmer water can freeze faster than colder water."
what genre is bloody beetroots?,"The Bloody Beetroots is the pseudonym of Sir Bob Cornelius Rifo, the Italian electro house and dance-punk music producer , DJ and photographer."
what glows in the dark?,"Radioluminescence glows in the dark, production of luminescence in a material by the bombardment of ionizing radiation."
what happened clint walker?,"Norman Eugene Walker, known as Clint Walker (born May 30, 1927), is a retired American actor."
What happened during the Starving Time in Jamestown?,Lack of access to water and a relatively dry rain season crippled the agricultural production of the colonists.
"What happened to ""The Glades"" tv series?",The show has been renewed for a fourth season.
what happened to george o'malley on grey's anatomy?,"In 2007, Knight's co-star Isaiah Washington ( Preston Burke ) insulted him with a homophobic slur, which resulted in the termination of Washington's Grey's Anatomy contract."
what happened to montgomery clift?,"Later, after a disfiguring car crash in 1956, and alcohol and prescription drug abuse, he became erratic."
what happened to stevie ray vaughan?,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin."
what holiday is first weekend of september?,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers."
what hormones produce thyroid?,"The thyroid hormones, triiodothyronine (T3) and thyroxine (T4), are tyrosine -based hormones produced by the thyroid gland that are primarily responsible for regulation of metabolism."
"what is ""thin film"" technology?",A thin film is a layer of material ranging from fractions of a nanometer ( monolayer ) to several micrometers in thickness.
what is 1 mil guaranies in united states dollars?,"The mill or mille () (sometimes mil in the UK , when discussing property taxes in the United States , or previously in Cyprus and Malta ) is a now-abstract unit of currency used sometimes in accounting."
what is 6 pin din connector?,The mini-DIN connectors are a family of multi-pin electrical connectors used in a variety of applications.
what is 9/11 bombings?,"The September 11 attacks (also referred to as September 11, September 11th, or 9/11) were a series of four coordinated terrorist attacks launched by the Islamic terrorist group al-Qaeda upon the United States in New York City and the Washington, D.C. area on September 11, 2001."
What is a 28 day cycle?,"This article focuses on the human menstrual cycle, a ""monthly"" cycle that can vary around an average of ~28 days per cycle."
what is a bad beat in poker?,"In poker , bad beat is a subjective term for a hand in which a player with what appear to be strong cards nevertheless loses."
what is a base SI unit?,"The seven SI base units and the interdependency of their definitions: for example, to extract the definition of the metre from the speed of light , the definition of the second must be known while the ampere and candela are both dependent on the definition of energy which in turn is defined in terms of length , mass and time."
what is a book index?,An index (plural: indexes) is a list of words or phrases ('headings') and associated pointers ('locators') to where useful material relating to that heading can be found in a document.
what is a brindle boxer?,"The coat is smooth and tight-fitting; colors are fawn or brindled , with or without white markings, which may cover the entire body."
what is a bus adapter in a computer?,"In computer hardware , a host controller, host adapter, or host bus adapter (HBA) connects a host system (the computer ) to other network and storage devices."
what is a chronograph watch?,A chronograph is a specific type of watch that is used as a stopwatch combined with a display watch.
what is a CMM machine?,A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.
what is a constant in math?,"A mathematical constant is a special number , usually a real number , that is ""significantly interesting in some way""."
what is a contingent fee with an attorney?,"In the law , contingent fee is defined as a ""fee charged for a lawyer's services only if the lawsuit is successful or is favorably settled out of court...."
what is a D.O. stand for medical doctor?,Doctor of Osteopathic Medicine (D.O. or DO) is a professional doctoral degree for physicians offered by medical schools in the United States.
what is a day care for?,"Child care or day care is the care of a child during the day by a person other than the child's legal guardians , typically performed by someone outside the child's immediate family."
what is a discipline of study?,"An academic discipline, or field of study, is a branch of knowledge that is taught and researched at the college or university level."
what is a dogs classification?,"The domestic dog (Canis lupus familiaris) is a subspecies of the gray wolf (Canis lupus), a member of the Canidae family of the mammalian order Carnivora."
what is a duvet cover used for?,"A duvet ( or ; ; from the French duvet ""down""), also known as a doona in Australian English or a continental quilt (or simply quilt) in British English , but this usage is no longer common, is a type of bedding , a soft flat bag filled with down , feathers , wool , silk or a synthetic alternative, and protected with a removable cover, analogous to a pillow and pillow case."
what is a form of legal ownership?,"Ownership of property may be private, collective, or common and the property may be objects , land/real estate , or intellectual property."
what is a forward in soccer?,"Forwards, also known as strikers, are the players on a team in association football who play nearest to the opposing team's goal, and are therefore principally responsible for scoring goals."
what is a Four Lokos?,"Four Loko is a line of alcoholic beverages , originally marketed as energy drinks , sold by Phusion Projects of Chicago, Illinois."
what is a fret on a guitar?,A fret is a raised element on the neck of a stringed instrument.
what is a full job time?,Full-time employment is employment in which a person works a minimum number of hours defined as such by his/her employer.
WHAT IS A FY QUARTER?,"A fiscal year (FY, or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations."
what is a gasser car?,A gasser was a type of hot rod originating on the dragstrips of the United States in the late 1950s and continued until the early 1970s.
what is a group of deer called?,Deer (singular and plural) are the ruminant mammals forming the family Cervidae.
what is a gsm cell phone?,"GSM (Global System for Mobile Communications, originally '), is a standard set developed by the European Telecommunications Standards Institute (ETSI) to describe protocols for second generation ( 2G ) digital cellular networks used by mobile phones."
what is a hosting company on a website?,A web hosting service is a type of Internet hosting service that allows individuals and organizations to make their website accessible via the World Wide Web.
what is a lapping machine?,"Lapping is a machining process, in which two surfaces are rubbed together with an abrasive between them, by hand movement or by way of a machine."
WHAT IS A LAW ENFORCEMENT MURDER BOOK?,"In law enforcement parlance, the term murder book refers to the case file of a murder investigation."
what is a league in the sea?,"In the context of nautical distances, the 3 mile (4.8 km) distance corresponds to how far an observer of average height (5'9"" or 1.78 m) can see when standing at sea level."
what is a letterbox movie?,Letterboxing is the practice of transferring film shot in a widescreen aspect ratio to standard-width video formats while preserving the film's original aspect ratio.
what is a llc company?,A limited liability company (LLC) is a flexible form of enterprise that blends elements of partnership and corporate structures.
what is a medallion guarantee?,A medallion guarantee is a guarantee by the transferring financial institution that the signature is genuine and the financial institution accepts liability for any forgery.
what is a millwright worker?,A millwright is a craftsman or tradesman engaged with the construction and maintenance of machinery.
what is a mms message?,Multimedia Messaging Service (MMS) is a standard way to send messages that include multimedia content to and from mobile phones.
what is a monarch to a monarchy?,A monarchy is a form of government in which sovereignty is actually or nominally embodied in a single individual (the monarch ).
what is a mule in coins?,"In numismatics , a mule is a coin or medal minted with obverse and reverse designs not normally seen on the same piece."
what is a neuro tract?,"A neural pathway, neural tract, or neural face, connects one part of the nervous system with another and usually consists of bundles of elongated, myelin -insulated neurons , known collectively as white matter."
what is a newsgroup message?,"A Usenet newsgroup is a usually within the Usenet system, for messages posted from many users in different locations."
what is a notary for?,"A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business."
what is a PCI port used for?,"Conventional PCI (PCI is an initialism formed from Peripheral Component Interconnect, part of the PCI Local Bus standard and often shortened to just PCI) is a local computer bus for attaching hardware devices in a computer."
what is a popular people meter?,A people meter is an audience measurement tool used to measure the viewing habits of TV and cable audiences.
what is a redshirt freshman football player?,"In United States college athletics , redshirt is a delay or suspension of an athlete's participation in order to lengthen his or her period of eligibility."
what is a right wing christian?,Christian right is a term used in the United States to describe right-wing Christian political groups that are characterized by their strong support of socially conservative policies.
what is a rock quarry?,A rock quarry is a type of open-pit mine from which rock or minerals are extracted.
what is a roll play games?,A role-playing game (RPG and sometimes roleplaying game) is a game in which players assume the roles of characters in a fictional setting.
what is a store confectioner?,"A confectionery store (more commonly referred to as a sweet shop in the United Kingdom, a candy store in the North America, or a lolly shop in Australia) sells confectionery and is usually targeted to children."
What is a surveyors wheel?,"A surveyor's wheel, also called a clickwheel, hodometer, waywiser, trundle wheel , measuring wheel, or perambulator is a device for measuring distance."
what is a synthetic conduit?,"A nerve guidance conduit (also referred to as an artificial nerve conduit or artificial nerve graft, as opposed to an autograft ) is an artificial means of guiding axonal regrowth to facilitate nerve regeneration and is one of several clinical treatments for nerve injuries."
what is a ti 82?,The TI-82 is a graphing calculator made by Texas Instruments.
what is a vetting process?,"Vetting is the process of performing a background check on someone before offering them employment, conferring an award, etc."
what is a vm server?,"A virtual machine (VM) is a software implemented abstraction of the underlying hardware , which is presented to the application layer of the system."
what is a wiki platform?,"A wiki ( ) is a website which allows its users to add, modify, or delete its content via a web browser usually using a simplified markup language or a rich-text editor."
what is a wwII theater?,"The European Theatre of World War II, also known as the European War, was a huge area of heavy fighting across Europe from Germany's invasion of Poland on September 1, 1939 until the end of the war with the German unconditional surrender on May 8, 1945 ( V-E Day )."
what is a.PAC file?,A proxy auto-config (PAC) file defines how web browsers and other user agents can automatically choose the appropriate proxy server (access method) for fetching a given URL.
what is active learning strategies?,Active learning is an umbrella term that refers to several models of instruction that focus the responsibility of learning on learners.
what is adem disease?,Acute disseminated encephalomyelitis (ADEM) is an immune mediated disease of the brain.
what is adoration catholic church?,"Eucharistic adoration is a practice in the Roman Catholic Church , and in a few Anglican and Lutheran churches, in which the Blessed Sacrament is exposed and adored by the faithful."
what is am 2201?,AM-2201 (1-(5-fluoropentyl)-3-(1-naphthoyl)indole) is a research chemical that acts as a potent but nonselective full agonist for the cannabinoid receptor.
what is amoxicillin for?,"Amoxicillin ( INN ), formerly amoxycillin ( BAN ), and abbreviated amox, is a moderate-spectrum, bacteriolytic, β-lactam antibiotic used to treat bacterial infections caused by susceptible microorganisms."
"what is an ""N.M?","A newton metre is a unit of torque (also called "" moment "") in the SI system."
what is an .msi file?,"The Windows Installer (previously known as Microsoft Installer) is a software component used for the installation, maintenance, and removal of software on modern Microsoft Windows systems."
what is an agents job role in film?,"A talent agent, or booking agent, is a person who finds jobs for actors , authors , film directors , musicians , models , producers, professional athletes , writers and other people in various entertainment businesses."
what is an arc in a story plot?,"A story arc is an extended or continuing storyline in episodic storytelling media such as television , comic books , comic strips , boardgames , video games , and in some cases, films."
what is an army specialist?,"Army Specialist (abbreviated ""SPC"") is one of the four junior enlisted ranks in the U.S. Army , just above Private First Class and equivalent in pay grade to Corporal."
what is an array in programming?,"In computer science , array programming languages (also known as vector or multidimensional languages) generalize operations on scalars to apply transparently to vectors , matrices , and higher dimensional arrays."
what is an assist in basketball?,"In basketball , an assist is attributed to a player who passes the ball to a teammate in a way that leads to a score by field goal , meaning that he or she was ""assisting"" in the basket."
what is an information technology (IT) manager?,IT managers manage the technology resources of a firm in accordance with its needs and priorities.
what is an irregular heartbeat pvc?,"A premature ventricular contraction (PVC), also known as a premature ventricular complex, ventricular premature contraction (or complex or complexes) (VPC), ventricular premature beat (VPB), or ventricular extrasystole (VES), is a relatively common event where the heartbeat is initiated by Purkinje fibres in the ventricles rather than by the sinoatrial node , the normal heartbeat initiator."
what is an sd memory card reader?,"A memory card reader is a device, typically having a USB interface, for accessing the data on a memory card such as a CompactFlash (CF), Secure Digital (SD) or MultiMediaCard (MMC)."
What is and where is hydraulic fluid found and used for?,Common hydraulic fluids are based on mineral oil or water.
what is another name for cpu?,"A central processing unit (CPU), also referred to as a central processor unit, is the hardware within a computer that carries out the instructions of a computer program by performing the basic arithmetical, logical, and input/output operations of the system."
what is another name for the large intestine?,"The large intestine (or bowel, colon) is the last part of the digestive system in vertebrate animals."
what is article 5 about?,Article Five of the United States Constitution describes the process whereby the Constitution may be altered.
what is associates arts degree?,"An associate degree is an undergraduate academic degree awarded by community colleges , junior colleges , technical colleges, and bachelor's degree -granting colleges and universities upon completion of a course of study usually lasting two years."
what is atherosclerotic heart disease?,Atherosclerosis (also known as arteriosclerotic vascular disease or ASVD) is a condition in which an artery wall thickens as a result of the accumulation of fatty materials such as cholesterol and triglyceride.
what is auto quarter panel?,"On an automobile, a quarter panel (or rear wing as it is known in British English ) is usually considered the body panel which goes between the rear door and the trunk and typically wraps around the wheel well; however, the similar front section Fender (vehicle) , between the door and the hood, is sometimes incorrectly referred to as a quarter panel."
what is baklava recipe?,"Baklava (, , or ; also Baklawa) is a rich, sweet pastry made of layers of phyllo pastry filled with chopped nuts and sweetened with syrup or honey."
What Is Benzene Used For?,"Benzene is mainly used as a precursor to heavy chemicals, such as ethylbenzene and cumene , which are produced on a billion kilogram scale."
what is bilirubin total?,Bilirubin (formerly referred to as hematoidin) is the yellow breakdown product of normal heme catabolism.
what is black hairy tongue disease?,"Black hairy tongue (BHT, also termed lingua villosa nigra) refers to a condition of the tongue where the filiform papillae elongate with black or brown discoloration, giving a black and hairy appearance."
what is blood urea?,The liver produces urea in the urea cycle as a waste product of the digestion of protein.
what is bracketing in photography?,"In photography , bracketing is the general technique of taking several shots of the same subject using different camera settings."
what is brown flax?,Brown Flax is a food and fibre crop that is grown in cooler regions of the world.
what is busiest airport in US?,Hartsfield–Jackson Atlanta International Airport is the busiest single airport in the United States.
what is buttoned-down shirt?,"The term ""button-down"" (which refers a type of shirt which has a collar fastened down by buttons) is sometimes used in error to apply to all shirts (with or without buttoned down collars), being used as a synonym for ""button-up"" or ""button-front""."
what is captcha code?,A CAPTCHA () is a type of challenge-response test used in computing as an attempt to ensure that the response is generated by a human being.
what is Carbon 14 dating is a type of ?,"Carbon-14, 14C, or radiocarbon, is a radioactive isotope of carbon with a nucleus containing 6 protons and 8 neutrons."
What is caused by the human immunodeficiency virus?,"Human immunodeficiency virus (HIV) is a lentivirus (slowly replicating retrovirus ) that causes acquired immunodeficiency syndrome (AIDS), a condition in humans in which progressive failure of the immune system allows life-threatening opportunistic infections and cancers to thrive."
what is chep pallet?,"CHEP (Commonwealth Handling Equipment Pool) is an international company dealing in pallet and container pooling services, serving customers in a range of industrial and retail supply chains."
what is chicken chow mein?,"Chow mein (; Chinese : 炒麵, ""fried noodles"") is a Chinese term for a dish of stir-fried noodles , of which there are many varieties."
what is civil engineering aBOUT?,"Civil engineering is a professional engineering discipline that deals with the design, construction, and maintenance of the physical and naturally built environment, including works like roads, bridges, canals , dams, and buildings."
what is considered a large car?,A full-size car is a marketing term used in North America for an automobile larger than a mid-size car.
what is considered to be a disasters?,"A disaster is a natural or man-made (or technological) hazard resulting in an event of substantial extent causing significant physical damage or destruction, loss of life, or drastic change to the environment."
what is corpus christi holiday?,"The Feast of Corpus Christi ( Latin for Body of Christ ), also known as Corpus Domini, is a Latin Rite liturgical solemnity celebrating the tradition and belief in the body and blood of Jesus Christ and his Real Presence in the Eucharist."
what is cta used for?,Computed tomography angiography (CTA) is a computed tomography technique used to visualize arterial and venous vessels throughout the body.
what is cu the element?,Copper is a chemical element with the symbol Cu (from ) and atomic number 29.
what is cubic ft?,"The term cubic foot is an Imperial and US customary (non- metric ) unit of volume , used in the United States and the United Kingdom."
what is customary at shiva?,"Shiva () (literally ""seven"") is the week-long mourning period in Judaism for first-degree relatives: father , mother , son , daughter , brother , sister , and spouse."
what is definition of psychotic?,"Psychosis (from the Greek ψυχή ""psyche"", for mind/soul, and -ωσις ""-osis"", for abnormal condition or derangement) refers to an abnormal condition of the mind, and is a generic psychiatric term for a mental state often described as involving a ""loss of contact with reality ""."
what is dim sum?,Dim sum refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.
what is direct marketing channel?,"Direct marketing is a channel-agnostic form of advertising that allows businesses and nonprofits organizations to communicate straight to the customer, with advertising techniques that can include Cell Phone Text messaging , email, interactive consumer websites, online display ads, fliers, catalog distribution, promotional letters, and outdoor advertising."
what is disney's magic kingdom?,"Magic Kingdom Park, also known as Magic Kingdom, is the first of four theme parks built at the Walt Disney World Resort in Bay Lake , Florida."
what is dmitri mendeleev 4?,Dmitri Ivanovich Mendeleev (; 8 February 1834 – 2 February 1907 O.S. 27 January 1834 – 20 January 1907) was a Russian chemist and inventor.
what is doxycycline hyclate used for?,"Doxycycline is a member of the tetracycline antibiotics group, and is commonly used to treat a variety of infections."
what is eggnog made of?,"Eggnog, or egg nog, is a sweetened dairy -based beverage traditionally made with milk and/or cream , sugar , and whipped eggs (which gives it a frothy texture)."
what is eic earned income credit?,"The United States federal earned income tax credit or earned income credit (EITC or EIC) is a refundable tax credit for low- and medium-income individuals and couples, primarily for those who have qualifying children."
what is el mate?,"Mate (, ; sometimes also spelled maté), also known as chimarrão () or cimarrón (), is a traditional South American infused drink , particularly in Argentina, Uruguay, Paraguay and the southern states of Brazil and to a lesser degree in south of Chile, the Bolivian Chaco , Syria and Lebanon."
what is el morro in puerto rico?,"Castillo San Felipe del Morro also known as Fort San Felipe del Morro or Morro Castle, is a 16th-century citadel located in San Juan, Puerto Rico."
what is endodontic dentistry?,"Endodontics (from the Greek endo ""inside""; and odons ""tooth"") is one of the dental specialties recognized by the American Dental Association , Royal College of Dentists of Canada , and Royal Australasian College of Dental Surgeons , and deals with the tooth pulp and the tissues surrounding the root of a tooth."
what is ethernet gigabit?,"In computer networking , gigabit Ethernet (GbE or 1 GigE) is a term describing various technologies for transmitting Ethernet frames at a rate of a gigabit per second (1,000,000,000 bits per second), as defined by the IEEE 802.3-2008 standard."
what is evoked otoacoustic emissions?,An otoacoustic emission (OAE) is a sound which is generated from within the inner ear.
what is extreme right wing?,The far-right (also known as the extreme right) refers to the highest degree of rightism in right-wing politics.
what is file based system?,"In computing , a file system (or filesystem) is a type of data store which can be used to store, retrieve and update a set of files."
What is firebird server?,"Firebird is an open source SQL relational database management system that runs on Linux , Windows , and a variety of Unix."
what is firewire used for?,The IEEE 1394 interface is a serial bus interface standard for high-speed communications and isochronous real-time data transfer.
what is flour made from?,"Flour is a powder which is made by grinding cereal grains , or other seeds or roots (like Cassava )."
what is general chu chicken?,"General Tso's chicken (sometimes Governor Tso's chicken, General Gau's chicken, General Tao's chicken, General Tsao's chicken, General Tong's chicken, General Tang's chicken or simply General's Chicken) is a sweet , slightly spicy , deep-fried chicken dish that is popularly served in North American Chinese restaurants."
what is go daddy.com?,Go Daddy or Go Daddy Group Inc. is a privately held company that is primarily an internet domain registrar and web hosting company.
what is google openid?,"OpenID is an open standard that allows users to be authenticated by certain co-operating sites (known as Relying Parties or RP) using a third party service, eliminating the need for webmasters to provide their own ad hoc systems and allowing users to consolidate their digital identities."
what is gravy made of?,"Gravy is a sauce , made often from the juices that run naturally from meat or vegetables during cooking."
what is grist mill stone?,"A gristmill (also: grist mill, corn mill or flour mill) grinds grain into flour."
what is high emotional intelligence?,"Emotional intelligence (EI) is the ability to identify, assess, and control the emotions of oneself, of others, and of groups."
what is homebrew for wii?,Wii homebrew refers to the reuse of Nintendo 's Wii game console to run software that has not been authorized by Nintendo.
what is hosting a website?,"Web hosts are companies that provide space on a server owned or leased for use by clients, as well as providing Internet connectivity, typically in a data center."
what is human chorionic?,"In molecular biology , human chorionic gonadotropin (hCG) is a hormone produced by the fertilized egg after conception."
what is IBRIX?,"IBRIX Fusion is a scalable parallel file system combined with integrated logical volume manager , availability features and a management interface."
what is impingement of the shoulder?,"Shoulder impingement syndrome, also called painful arc syndrome, supraspinatus syndrome, swimmer's shoulder, and thrower's shoulder, is a clinical syndrome which occurs when the tendons of the rotator cuff muscles become irritated and inflamed as they pass through the subacromial space, the passage beneath the acromion."
what is in a hot toddy?,"A hot toddy, also hot totty, and hot tottie, is typically a mixed drink made of liquor and water with sugar and spices and served hot."
what is in a tequila sunrise?,"The Tequila Sunrise is a cocktail made in two different ways, the original ( tequila , crème de cassis , lime juice and soda water ) and the more popular concoction ( tequila , orange juice , and grenadine syrup )."
what is in a will?,"A will or testament is a legal declaration by which a person, the testator , names one or more persons to manage his/her estate and provides for the transfer of his property at death."
what is in fruitcake?,"Fruit cake (or fruitcake) is a cake made with chopped candied fruit and/or dried fruit , nuts , and spices , and (optionally) soaked in spirits."
what is in milk?,Milk is a white liquid produced by the mammary glands of mammals.
